"ID","How to find","Grid","Name","Neighbourhood","People","Area type","Size (m2)","Size other (m2)","Description","Part of JOMO?","Worth adding?","Category","DONE","How to find","","","","","",""
"3","Forest Cave, grid square K22","K22","Cheeky Badger Tavern","Forest Cave","30","art","215","200","We have a kitchen and make food","","","","","","","","","","",""
"4","Forest Cave, grid square K23","K23","Cheeky Badger Tavern Sleeping","Forest Cave","0","public-offering","334","50","Sleeping camp of the Badgers
","","","","","","","","","","",""
"5","Forest Cave, grid square L22","L22","⛩️ Ångström [Å]","Forest Cave","0","sound-camp","180","180","A music stage built on the love for music, light and sound.
Step into Ångström and experience ambient journeys and live performances. Here, every frequency is felt, every beam of light is shaped, and every moment invites you to slow down, drift, and connect. One Ångström is the wavelength scale of visible light — a small promise to treat sound and light with the precision they deserve.

","","1","🫖 Care/Support/Pampering","","Forest Cave, grid square L22","","","","","",""
"6","Forest Cave, grid square K22","K22","Kagora","Forest Cave","0","art","62","60","1.2km of blinky hippy trap ","6","","","","","","","","","",""
"7","Forest Cave, grid square K22","K22","Erotic Oscillations","Forest Cave","2","art","44","64","The 'Moaning Swings' art installation.","","1","🎨 Art/Installation","","Forest Cave, grid square K22","","","","","",""
"8","Sunny Hills, grid square H19","H19","The Bear's Den ","Sunny Hills","0","sound-camp","215","100","Deep bass on a hand-crafted sound system. Jungle, drum & bass, dubstep, garage, dub. Devoted to the low end.
","8","1","","","","","","","","",""
"9","Sunny Hills, grid square I19","I19","Sleepy bear's","Sunny Hills","10","normal-camp","330","18","Sleepy space for the bear's
We are in contact with the DoET and will squeeze to fit along the edge of the forrest towards our dream. The bears Den ","","","","","","","","","","",""
"10","Sunny Hills, grid square J20","J20","sleepy bear's free campers","Sunny Hills","10","normal-camp","129","0","camping area for extra sleepy bears.","","","","","","","","","","",""
"12","Highlands, grid square M13","M13","Camp Nimenoma","Highlands","20","public-offering","788","108","NIMENOMA is a glowing camp lounge with colorful lamps, cozy tents, workshops, music, mocktails, cocktails and fresh fries. Relax in cushions and blankets by day, dance and connect by night through themed evenings, psychedelic experiences and a vibrant shared living room.","12","1","","","","","","","","",""
"13","Swamp, grid square R17","R17","The Fuckery RV Camp Right","Swamp","21","normal-camp","563","0","The Fuckery  RV and tent camping.
35 people total, 7 RVs and camping tents + staff tent/kitchen/lounge","","","","","","","","","","",""
"15","Wedge, grid square S22","S22","The Good, the Bad and the Cuddly","Wedge","18","normal-camp","362","50","Cuddle Cloud sleeping area","","","","","","","","","","",""
"16","Swamp, grid square S17","S17","Wild Sacred Fire","Swamp","35","public-offering","1144","550","Day and night, the Fire burns bright. There’s always room for more people. We’ll sing together, enjoy each other’s company, and keep warm throughout the night. There’s always room for more people at the Fire, and we have plenty of space for co-creation.","","1","🔮 Ritual/Ceremony","","Swamp, grid square S17","","","","","",""
"17","Wedge, grid square S22","S22","Sweet Dreamers","Wedge","16","normal-camp","583","270","Cuddly camp that are a part of the Cuddly Cove Plaza.","","","","","","","","","","",""
"19","Wedge, grid square R21","R21","Cuddle Cloud ☁️","Wedge","0","public-offering","81","81","Warm and cozy 7 m diameter bell tent for workshops at day and deep talk at night.","","1","🧠 Workshop/Class","","Wedge, grid square R21","","","","","",""
"21","Sunny Hills, grid square H20","H20","Discotech Engineering","Sunny Hills","6","sound-camp","202","150","A precision-tuned, day time sound camp for warm and inviting dancefloors, curating house music. Sound you feel as much as you hear &lt;3

","21","1","","","","","","","","",""
"22","Sunny Hills, grid square G21","G21","F33 Magic Banya","Sunny Hills","25","public-offering","1151","926","A transformative, communal steam experience.

Throughout the week, we host guided communal steam sessions revolving around heat, herbs, sound healing, and collective meditation.

The sessions run daily from morning till evening.
Reserve your spot at the greeting station.","22","1","","","","","","","","",""
"24","Lowlands, grid square R11","R11","Hexology Camping","Lowlands","40","normal-camp","1080","100","We manage the Hexology Art Project on the corner — a magical music mashup experience.

We are happy tech and music nerds from Gothenburg, San Francisco, and Berlin :)

Camping with a kitchen + eating area and many RVs.

PS. got OK from @rosadanen to have the path below us.","","","","","","","","","","",""
