"Day","Title","Start","End","Facilitator/
Host camp","Location","Category","Vibes","Description","Comments","KID FRIENDLY","SEX POSITIVE","QUEER INCLUSIVE","ADULT ONLY","SOBER ONLY","Warning: Sensory content ","Warning: Triggering"
"Sat. 18 July","The Vanilla Knot Club","14:00","16:00","","Lucifer's Pit (barn, 1st floor)","Workshop/Class","🐵 Kid-friendly · 🌈 Queer-inclusive","We will go through some basic rope and knots skills that will help you and your camp through the next days. Beginner to advanced. No skills needed. BYOR (bring your own rope - if you have one) 
Disclaimer: We will only tie on non-living things. If you want to tie humans/lovers together, this is not the workshop you are looking for.","","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"Sat. 18 July","Taklagsfest","20:00","3:00","The Grateful Grogg","Sunny Hills, grid square I20. On top of Sunny Hill","Party/Gathering","💥 Sensory content","A tradition unlike any other. Kick off your Borderland adventure by joining us after a hard day of build, quenching your thrist and dusting of that hat. Roof not guaranteed.","","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"Sun. 19 July","Tiny bag check opening hours","14:00","15:00","tiny bag check hostess / back alley","in the barn by Lucifer's pit","Art/Installation","💥 Sensory content","Tiny bag check is open for you to claim what you checked last year. remember your claim check ticket!","","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"Sun. 19 July","Borderland Virgin workshop (11 principles) 🌱","15:00","16:00","Icarus / All Senses, No Sense","Eastern Slope, X16.","Workshop/Class","","Virgin Borderling or seasoned burner to the playa? Wondering what the principles are? Then come to this light-guided workshop about the 11 principles of The Borderland. Come one, come all and frolick.","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Sun. 19 July","Body Music Co-Composition (Amir/Here)","15:03","16:04","Here / SINagogue","Downtown, grid square K21. Under the church - Ask about Here at the SINagogue","Workshop/Class","","Your body is a wonderful music instrument with a lot of untapped musical potential. We'll hear and learn notes, melodies, beats and sounds made by human bodies. Pretty sure at least some of them will be completely new to you. Depending on the group, we'll hopefully end up jamming and co-composing something unforgettable.","Recurring: expanded to 2 days (Sun. 19 July (build), Tue. 21 July); shown on: Sun. 19 July","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Sun. 19 July","The Piano Assisted Shitshow w. Aleks Delta","20:00","23:00","The Great Aleks Delta / Blackwater Operations","Swamp, grid square Q18. Look for the glorious American flag flying above The Green Zone. That's Blackwater Operations. Event is in the main tent.","Music/Performance/Show","","As per tradition, Blackwater Operations & The Green Zone will be hosting the worst shitshow money can't buy to celebrate the end of build. Think cruiseship entertainment... if it had been abandoned behind an opossum nest at a salvage yard. Drinks may be cold.","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Sun. 19 July","Wild Sacred Fire - Opening Ceremony","21:21","22:22","Wild Sacred Fire","Swamp, grid square S17. by the Fire Plaza","Ritual/Ceremony","","Together we deliver the rebirth of the WILD SACRED FIRE. Join us in devotion, consecrate the ground, steward the tradition. Here we find ground, that we may lean into intimacy with the unknown. Let Her joy fan the flames of your savage nobility. Bring your heart as kindling.","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Sun. 19 July","Campfire Concert 🔥🎶","22:00","23:00","Jon G. Lör & Itsi-Bitsi / By the fire in Camp Spaceport","Lowlands, grid square P13. Look for the big pink temple and the Spaceport campfire is right in front of it.","Music/Performance/Show","🐵 Kid-friendly · 🌈 Queer-inclusive","Chill by the big Spaceport fire while enjoying a concert that will soothe your
soul and raise your consciousness to “Borderland Levels”... Maybe you have
had a long day of building and want to wind down... or maybe you have just
arrived and are looking for the perfect way to start your burn.","","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"Mon. 20 July","Hexemutters Galehus","0:00","23:59","Miss Information / Acid Aunties & Nasty Uncles","Sunny Hills, grid square J22. Look for a grumpy old hag - good luck","Games/Play","🦍 Adults only · 🌈 Queer-inclusive · 🚨 Triggering themes","Hexemutters Galehus

Warning: experimental medicine cabinet. 41 remedies — yours to judge, yours to draw. Side effects include self-knowledge, mild existential crisis and uncontrollable honesty.

We are not responsible for what the cards unlock.

Always open. We never sleep. Unless we sleep. Wake us and die","Recurring: expanded to 7 days (Mon. 20 July, Tue. 21 July, Wed. 22 July, Thu. 23 July, Fri.); shown on: Mon. 20 July","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE"
"Mon. 20 July","LAZY TREATS HOUR","0:00","0:00","Anywhere, come find us!","Anywhere","Food/Drinks","🐵 Kid-friendly","When you've packed up all of your mojo, your tent feels impossibly far away, and truthfully.. you've got a tiny existential wobble brewing, come find us. Lazy Treats Hour will serve you hot toasties, silliness and giggles, plus a generous serving of camp love. Survival, but make it fabulous.","","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
