"Title","Location","Category","Tags","Description"
"Scrub & sauna 🔥🌿🍑","Sunny Hills, grid square G21.","Movement/Bodywork","😇 Sober · 🦍 Adults only · 🍑 Body-positive","Come naked. Birch whisking and scrub. Served by towel boy. Book a one hour session, and you will get a pampered. Totally non-scientifically inspired by the Lithuanian sauna tradition."
"Women who supports women","Arctic chill, grid square O06.","Movement/Bodywork","😇 Sober","A soft, heart-centered sanctuary rooted in connection, presence, and feminine support.
We warmly invite all women who feel aligned with the intention of the camp to contribute.
The values of the camp: softness, respect, authenticity, and a desire to support one another."
"Njorunns Garden","Downtown, grid square M20. Follow the signs <3","Movement/Bodywork","🍑 Body-positive · 💥 Sensory content · 🏳️‍🌈 Queer-inclusive","Njorunns Garden is the magical grove of many possibilities in the heart of Borderlands downtown, a welcoming space among the trees with flowers, fairy lights, a pavilion, a campfire, and PA.
Here we host everything from braiding workshops, Handpan jam, Goa morning and snippets of our favorite books during the day to Nordic traditional song circle, pre-parties and Chai during the evening.
Come and join for our many offerings or create one in our beautiful garden!"
"🌿🔥 Magic Banya ✨🌫️","Sunny Hills, grid square G21. We are the sauna tent right at the Sunny Hills lake shore, our entrance is close to the pier!","Movement/Bodywork","😇 Sober · 🍑 Body-positive","🌿A lakeside sanctuary of steam, tea, ritual and connection. Through heat, herbs, sound and meditation, we create a sauna experience. Sweat, sip tea by the fire, then cool off in the lake. 🫖🔥💧Banya ceremonies morning to evening. Drop-in or sign up ahead. 🧖🪵 Bring towel & cup. ✨"
"The Heart","Highlands, grid square M11. We are directly at the Penta plaza in the Highlands.","Movement/Bodywork","😇 Sober · 🍑 Body-positive","The Heart is a calm sanctuary in the middle of Borderland's chaos — a yurt dedicated to workshops, movement, and genuine human connection: yoga, dance, sound, massage, somatic practices. Got a workshop and nowhere to host it? Show up — there might be a free slot. We also have a cuddle-puddle tee-pee, small tearoom and shisha! No loud sound — no public sex — no drama!"
"Touch Divine Rituals 🌈🐲✨","Wedge, grid square R22. South-east of BL","Movement/Bodywork","🦍 Adults only · 🍑 Body-positive · 🏳️‍🌈 Queer-inclusive","Go beyond your wildest dreams! Touch Divine is back with an amazing 60 m2 decorated tent with soft tatami-floor. This year we offer Contact jam, Embodied futuring lab, Dough ritual, Conscious shibari, Ecstatic breastfeeding, Zenith of softness, Sex ritual for clowns, Shamanic dream workshop, Money-healing ceremony and more."
"Mingle & Play on the Dancefloor","Bison - North, grid square N20.","Movement/Bodywork","","In this workshop we explore mingling and play on the dance floor. How do we create a dance floor that's a little more interactive, respectful and playful? Easy party steps will be handed out! No prior experience of dancing, mingling or sense of humor is required. Come as you are with curiosity in you back pocket!"
"Flowzone","Highlands, grid square M11. Highlands, Penta plaza (the big flag) next to Chilldome.","Movement/Bodywork","😇 Sober · 🐒 Kid-friendly · 🦍 Adults only · 🐩 Pet-friendly","An always open, physical playground with bars, parallells, rings and other training equipment to have fun with movement. Made for hanging out, working out, climbing and playing outside. 
There’s challenges & workouts to do on your own, or at our workshops.
(Bring an adult if under 15)."
"The 🐸 Sapphic Pond","Sunny Hills, grid square J21. Big lesbian flags! If you see them! That is us! 🙌","Movement/Bodywork","🦍 Adults only · 🍑 Body-positive · 🖤 Sex positive · 🏳️‍🌈 Queer-inclusive","A soft, watery sanctuary for femmes loving femmes (butches & nonbinary folks included). Daily yin yoga, lake swims under the lesbian flag, tea ceremony, soul-matchmaking & slow dating. Come single, leave with a girlfriend, a cat & a shared lease 🐸 Open all week."
"The Fire Brigade","Swamp, grid square S16. In The Swamp at Fire Plaza, a gallery and red carpet area opposite the large tent of CIRCUS the ANALOG.","Movement/Bodywork","🐵 Kid-friendly · 🍑 Body-positive · 💥 Sensory content","Come during the day to practice poi, staff and other flow arts. We offer various workshops, but drop by anytime and if you're lucky, someone is around to teach you. Come at night and be awed by mesmerizing fire dancers, or take your own props out for a burn (nightly safety training required!)."
"Passage to Lemuria","grid square P25. The southest part of bison, look for a portal like entrance","Movement/Bodywork","🏳️‍🌈 Queer-inclusive","House of Lemuria brings you a dream inspired by the myth of Lemuria: A utopian civilization believed to have existed millions of years ago. The passage to Lemuria unfolds as an ongoing immersive performance, inhabited by characters that exist beyond time. You are invited to enter at specific times when the house is open, as well as during parties, workshops and performances. Come hang out in the house or enjoy an afternoon in our backyard."
"The Room of Requirements","Eastern Slope, grid square V19. Entry from the road","Movement/Bodywork","😇 Sober · 🐒 Kid-friendly · 🦍 Adults only · 🍑 Body-positive · 🚩 Triggering themes","Want to host or facilitate a workshop or something else but don't have the space? Use our space! Create something meaningful in a flexible setting.
No fixed purpose, just possibility. 
Be mindful of the space and area. Underwear stays on!
Book your timeslot and read more here - www.ror.staeger.se"
"DanSING","Bison - North, grid square N19. By the Shameless Plaza","Movement/Bodywork","🦍 Adults only · 🍑 Body-positive · 💥 Sensory content","DanSINg is Club SIN’s covered dance temple, where disco, funk, house, techno, live acts, pole dancers, cages, flames, and sinful bodies meet. Come lose yourself in sweaty joy, silly desire, wicked grooves, and collective delirium, from daytime sparkle to late-night sin, rain or shine under the roof with us!"
"The SeaLions Den","Highlands, grid square M09","Movement/Bodywork","","Offering calm workshops as talks, breathwork, meditation and movement and a Teastand"
"Krusty's Playground","Arctic chill, grid square P06","Movement/Bodywork","","Pool, showers and potentially the bouncing castle."
"Alien Embassy 🖖👽✨","Eastern Slope, grid square V18","Movement/Bodywork","","Those of you who have experienced the Alien Embassy already know us, and this year we are setting up an outpost camp. As all diplomats, we are eager to facilitate earthly relationships and cultural exchange, including The Mars Mellow Café, The Ininite Cuddle Cave, and Earth Alien Movement Training."
"Dubble the trubbel","Swamp, grid square U18","Movement/Bodywork","","A dreamy camp with focus on sexy playfulness hosting pleasurable embodied workshop, cuddles and love! ❤️‍🔥"
"The Source","Lowlands, grid square S12","Movement/Bodywork","","Camp and Workshop Tent (40 m²) Beautifully decorated and equipped with comfortable yogamats and flooring. We will offer breathwork sessions, tantric workshops, and more—and we may also be able to host your workshops."
"Art of lust","Swamp, grid square R18","Movement/Bodywork","","Rope play, sex magic, orgasmic breathwork"
"Alibaba and the holy trouble nun","Arctic chill, grid square M04","Movement/Bodywork","","We are a heart-centered, playful, embodied camp, primarily a cozy place for sleeping and landing, but we will also share music, meditation and breathwork as some of our superskills. We will also offer a golf-car to confess sins in."
"Make Your Borderland Dream Happen… Before It Actually Happens!!","Arctic chill, grid square P07. Red hearttent - ofc","Pampering/Care","","What is your wildest longing for this year's BL? Meet the love of your life? Eye-gaze with a cat? Why wait — come cheat Miss Reality! We circle up, you share a Borderland-wish, and together we bring it to life through spontaneous roleplay and collective imagination. No acting skills needed — just curiosity. Note: not a nudity/sex-positive space; all desires welcome, fully clothed."
"Mermaid cave","Bison - North, grid square O19. Mermaid cave is at the corner of Shameless plaza, by Glittertind and Club SIN. It also hosts the Wellness of Figging and the Sea Witches Den.","Pampering/Care","🐒 Kid-friendly · 🐩 Pet-friendly","The Mermaid Cave will return as a safe haven for burners, sailors, and denizens of the deep. It is an island of serenity in the middle of the party, providing a comfortable place to let the storm pass. The Mermaid cave will be a soft and cosy chill area, protected from the elements and lit up in a careful balance of mood and visibility.

The Mermaid cave is built and tendered by Borderlands oldest camp; the Mermaid camp"
"Leave No Trace Shower for Dirty Hippies","Better just call/text +45 51 90 31 49","Pampering/Care","😇 Sober · 🐒 Kid-friendly · 🍑 Body-positive · 🏳️‍🌈 Queer-inclusive · 🐩 Pet-friendly","Wash the Dirty Burners. A warm off-grid shower for dusty humans. Bring 6 liters of water (I'll try to store some as well) and enjoy a minute or two of hot, wet bliss. Greywater is collected and filtered to minimize environmental impact. Open once set up."
